"","filename","time_index","timestamp","band_index","band"
"75","disk/t_6/b_10.tif","6","2017-02-10 08:20:51","10","9"
"76","disk/t_6/b_11.tif","6","2017-02-10 08:20:51","11","10"
"77","disk/t_6/b_12.tif","6","2017-02-10 08:20:51","12","11"
"78","disk/t_6/b_13.tif","6","2017-02-10 08:20:51","13","12"
"79","disk/t_7/b_1.tif","7","2017-02-20 08:20:01","1","1"
"80","disk/t_7/b_2.tif","7","2017-02-20 08:20:01","2","2"
"81","disk/t_7/b_3.tif","7","2017-02-20 08:20:01","3","3"
"82","disk/t_7/b_4.tif","7","2017-02-20 08:20:01","4","4"
"83","disk/t_7/b_5.tif","7","2017-02-20 08:20:01","5","5"
"84","disk/t_7/b_6.tif","7","2017-02-20 08:20:01","6","6"
"85","disk/t_7/b_7.tif","7","2017-02-20 08:20:01","7","7"
"86","disk/t_7/b_8.tif","7","2017-02-20 08:20:01","8","8"
"87","disk/t_7/b_9.tif","7","2017-02-20 08:20:01","9","8a"
"88","disk/t_7/b_10.tif","7","2017-02-20 08:20:01","10","9"
"89","disk/t_7/b_11.tif","7","2017-02-20 08:20:01","11","10"
"90","disk/t_7/b_12.tif","7","2017-02-20 08:20:01","12","11"
"91","disk/t_7/b_13.tif","7","2017-02-20 08:20:01","13","12"
"92","disk/t_8/b_1.tif","8","2017-03-02 08:18:41","1","1"
"93","disk/t_8/b_2.tif","8","2017-03-02 08:18:41","2","2"
"94","disk/t_8/b_3.tif","8","2017-03-02 08:18:41","3","3"
"95","disk/t_8/b_4.tif","8","2017-03-02 08:18:41","4","4"
"96","disk/t_8/b_5.tif","8","2017-03-02 08:18:41","5","5"
"97","disk/t_8/b_6.tif","8","2017-03-02 08:18:41","6","6"
"98","disk/t_8/b_7.tif","8","2017-03-02 08:18:41","7","7"
"99","disk/t_8/b_8.tif","8","2017-03-02 08:18:41","8","8"
"100","disk/t_8/b_9.tif","8","2017-03-02 08:18:41","9","8a"
"101","disk/t_8/b_10.tif","8","2017-03-02 08:18:41","10","9"
"102","disk/t_8/b_11.tif","8","2017-03-02 08:18:41","11","10"
"103","disk/t_8/b_12.tif","8","2017-03-02 08:18:41","12","11"
"104","disk/t_8/b_13.tif","8","2017-03-02 08:18:41","13","12"
"105","disk/t_9/b_1.tif","9","2017-03-12 08:20:01","1","1"
"106","disk/t_9/b_2.tif","9","2017-03-12 08:20:01","2","2"
"107","disk/t_9/b_3.tif","9","2017-03-12 08:20:01","3","3"
"108","disk/t_9/b_4.tif","9","2017-03-12 08:20:01","4","4"
"109","disk/t_9/b_5.tif","9","2017-03-12 08:20:01","5","5"
"110","disk/t_9/b_6.tif","9","2017-03-12 08:20:01","6","6"
"111","disk/t_9/b_7.tif","9","2017-03-12 08:20:01","7","7"
"112","disk/t_9/b_8.tif","9","2017-03-12 08:20:01","8","8"
"113","disk/t_9/b_9.tif","9","2017-03-12 08:20:01","9","8a"
"114","disk/t_9/b_10.tif","9","2017-03-12 08:20:01","10","9"
"115","disk/t_9/b_11.tif","9","2017-03-12 08:20:01","11","10"
"116","disk/t_9/b_12.tif","9","2017-03-12 08:20:01","12","11"
"117","disk/t_9/b_13.tif","9","2017-03-12 08:20:01","13","12"
"118","disk/t_10/b_1.tif","10","2017-03-22 08:16:11","1","1"
"119","disk/t_10/b_2.tif","10","2017-03-22 08:16:11","2","2"
"120","disk/t_10/b_3.tif","10","2017-03-22 08:16:11","3","3"
